what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1607772383864
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607772389383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607772393495
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1607772394024
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772398953
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1607772402628
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772408064
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772434617
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1607772493233
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607772499439
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772506331
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772506528
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772527048
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772543989
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772559519
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772635913
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772655216
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607772670217
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772673341
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1607772674160
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607772675621
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607772679377
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607772687138
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1607772687788
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772694087
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1607772696957
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772702414
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772750198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1607772822077
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772825530
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607772831717
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607772839269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607772846649
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1607772847175
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772852892
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1607772855882
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772861323
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772872482
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1607772880083
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772890310
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607772893467
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607772904996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607772912270
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1607772913084
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772918920
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1607772921643
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607772927029
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607772986187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773018793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773165765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773171857
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773172450
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607773176876
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607773182417
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773184615
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773317692
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773318898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773427320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773428824
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773559174
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773561111
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773831199
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607773833638
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607774146867
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607774146928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607774149664
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607774169264
