what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1604956277981
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1604956277981
java.vm.version,sysinfo,,,"19.0-b09",1604956277981
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1604956280623
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1604956281884
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1604956281937
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1604956292304
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1604956293037
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1604956298300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956298319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956298612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956305141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956305614
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1604956306195
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1604956306221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956306252
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956308234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956315209
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956317442
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1604956320799
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1604956320802
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956323783
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956339481
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956339500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956342943
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956361082
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956363186
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1604956363904
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1604956363911
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1604956365824
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1604956365825
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1604956367266
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1604956367492
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1604956367499
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1604956398399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956417865
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956645261
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956646909
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1604956648533
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1604956673327
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1604956679367
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1604956692664
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1604956697570
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1604956704575
