what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1610291865956
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1610291865957
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1610291865958
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1610291865960
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1610291865961
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1610291865962
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1610291865963
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1610291865964
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1610291865964
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1610291865965
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1610291865965
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1610291865966
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1610291865966
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1610291865967
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1610291865968
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1610291865968
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1610291865970
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1610291866031
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1610291866032
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1610291866034
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1610291866035
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1610291866036
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1610291866037
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1610291866038
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1610291866039
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1610291866039
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1610291866039
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1610291866040
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1610291866040
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1610291866041
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1610291866042
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1610291866043
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1610291866043
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1610291866045
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1610291866046
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1610291866046
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1610291866048
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1610291866049
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1610291866051
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1610291866052
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1610291866052
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1610291866053
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1610291866054
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1610291866057
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1610291866057
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1610291866059
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1610291866060
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1610291866061
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1610291866062
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1610291866063
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1610291866066
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1610291866066
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1610291866072
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1610291866073
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1610291866074
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1610291866075
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1610291866076
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1610291866076
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1610291866076
os,sysinfo,,,"win32",1610291866078
arch,sysinfo,,,"x86",1610291866078
ws,sysinfo,,,"win32",1610291866078
locale,sysinfo,,,"fr_FR",1610291866078
processors,sysinfo,,,"8",1610291866078
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1610291866078
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1610291866078
java.specification.name,sysinfo,,,"Java Platform API Specification",1610291866078
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1610291866078
java.specification.version,sysinfo,,,"1.6",1610291866078
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1610291866078
java.version,sysinfo,,,"1.6.0_23",1610291866078
java.vm.info,sysinfo,,,"mixed mode",1610291866078
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1610291866078
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1610291866078
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1610291866078
java.vm.specification.version,sysinfo,,,"1.0",1610291866078
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1610291866078
java.vm.version,sysinfo,,,"19.0-b09",1610291866078
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1610291867092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1610291867293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1610291873131
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1610291877775
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1610291878604
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1610291878706
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1610291887967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1610291887988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1610291891479
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1610291946389
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1610291946430
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1610291946437
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1610291955807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1610291957501
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1610291960305
