what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1607986642153
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1607986642154
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1607986642156
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1607986642157
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1607986642159
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1607986642160
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1607986642161
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1607986642162
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1607986642164
os,sysinfo,,,"win32",1607986642169
arch,sysinfo,,,"x86",1607986642169
ws,sysinfo,,,"win32",1607986642169
locale,sysinfo,,,"fr_FR",1607986642169
processors,sysinfo,,,"8",1607986642169
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1607986642169
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1607986642169
java.specification.name,sysinfo,,,"Java Platform API Specification",1607986642169
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1607986642169
java.specification.version,sysinfo,,,"1.6",1607986642169
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1607986642169
java.version,sysinfo,,,"1.6.0_23",1607986642169
java.vm.info,sysinfo,,,"mixed mode",1607986642169
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1607986642169
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1607986642169
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1607986642169
java.vm.specification.version,sysinfo,,,"1.0",1607986642169
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1607986642169
java.vm.version,sysinfo,,,"19.0-b09",1607986642169
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607986646123
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607986651524
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1607986654067
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1607986654185
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1607986657268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986657300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986663080
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1607986690612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986707688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986720907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1607986726190
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1607986727566
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986734132
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986743188
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1607986749554
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1607986749595
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1607986749604
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986752592
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986757365
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1607986758545
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1607986758557
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1607986759788
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986763782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1607986765353
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1607986767313
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1607986767795
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1607986767804
