what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1609001754294
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1609001754294
java.vm.version,sysinfo,,,"19.0-b09",1609001754294
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1609001755353
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609001755552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609001763959
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1609001771205
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1609001771820
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1609001771865
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1609001779224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609001779256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609001780741
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1609001794560
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1609001794599
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1609001794606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609001800843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609001802567
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1609001805396
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1609001805410
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1609001808659
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1609001809032
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1609001809060
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1609001809060
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1609001809061
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1609001809074
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1609001831316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609001863341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609002307043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609002311576
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609002485166
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609002493707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609002503160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609002544815
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1609002629397
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1609002631565
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1609002685320
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1609002713860
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1609002755795
